,K_NAME,S_NAME,REMARK,LONGITUDE,LATITUDE,SOURCE
2298,¸äµÅÁö,Sus scrofa,,128.8701637,35.3481772,NES2
2312,¸äµÅÁö,Sus scrofa,,128.8692622,35.33344707,NES2
2317,¸äµÅÁö,Sus scrofa,,128.8331044,35.3620227,NES2
2329,¸äµÅÁö,Sus scrofa,,128.8249917,35.34233295,NES2
2341,¸äµÅÁö,Sus scrofa,,128.8157485,35.26954649,NES2
2358,¸äµÅÁö,Sus scrofa,,128.7952863,35.26113905,NES2
2368,¸äµÅÁö,Sus scrofa,,128.7852926,35.27351803,NES2
2378,¸äµÅÁö,Sus scrofa,,128.6747593,35.25858622,NES2
2412,¸äµÅÁö,Sus scrofa,,128.7916236,35.13872286,NES2
2418,¸äµÅÁö,Sus scrofa,,128.8164507,35.14522734,NES2
2426,¸äµÅÁö,Sus scrofa,,128.9531142,35.81150127,NES2
2429,¸äµÅÁö,Sus scrofa,,128.8788915,35.84756479,NES2
2434,¸äµÅÁö,Sus scrofa,,128.8655501,35.83748525,NES2
2449,¸äµÅÁö,Sus scrofa,,129.2457994,35.68545502,NES2
2500,¸äµÅÁö,Sus scrofa,,128.873222,35.83138498,NES2
2522,¸äµÅÁö,Sus scrofa,,129.232578,35.61824655,NES2
2553,¸äµÅÁö,Sus scrofa,,129.1561711,37.20926805,NES2
2555,¸äµÅÁö,Sus scrofa,,129.166138,37.20554284,NES2
2556,¸äµÅÁö,Sus scrofa,,129.1721277,37.20475826,NES2
2558,¸äµÅÁö,Sus scrofa,,129.1725988,37.21567516,NES2
2560,¸äµÅÁö,Sus scrofa,,129.0619617,37.16023906,NES2
2563,¸äµÅÁö,Sus scrofa,,129.0773095,37.1606039,NES2
2565,¸äµÅÁö,Sus scrofa,,129.1336616,37.27448852,NES2
2567,¸äµÅÁö,Sus scrofa,,129.1344515,37.26835253,NES2
2569,¸äµÅÁö,Sus scrofa,,129.1405722,37.26569729,NES2
2570,¸äµÅÁö,Sus scrofa,,129.1372653,37.26073717,NES2
2571,¸äµÅÁö,Sus scrofa,,129.1323294,37.25226288,NES2
2572,¸äµÅÁö,Sus scrofa,,129.1529416,37.26821498,NES2
2583,¸äµÅÁö,Sus scrofa,,128.9688475,35.84205827,NES2
2586,¸äµÅÁö,Sus scrofa,,128.9584797,35.831462,NES2
2587,¸äµÅÁö,Sus scrofa,,128.95505,35.82577615,NES2
2617,¸äµÅÁö,Sus scrofa,,127.0072507,36.60763458,NES2
2628,¸äµÅÁö,Sus scrofa,,127.0151389,36.62044117,NES2
2649,¸äµÅÁö,Sus scrofa,,127.0268835,36.58895602,NES2
2657,¸äµÅÁö,Sus scrofa,,127.0271059,36.60700052,NES2
2668,¸äµÅÁö,Sus scrofa,,127.0601581,36.55909783,NES2
2677,¸äµÅÁö,Sus scrofa,,127.0519492,36.55229087,NES2
2679,¸äµÅÁö,Sus scrofa,,127.0550353,36.5448313,NES2
2694,¸äµÅÁö,Sus scrofa,,127.0359265,36.54893918,NES2
2703,¸äµÅÁö,Sus scrofa,,127.1206235,36.6917937,NES2
2707,¸äµÅÁö,Sus scrofa,,127.1079519,36.69481208,NES2
2754,¸äµÅÁö,Sus scrofa,,127.0812762,36.67832869,NES2
10821,¸äµÅÁö,Sus scrofa,,128.4423854,38.18891215,NES2
10822,¸äµÅÁö,Sus scrofa,,127.3769433,38.20447009,NES2
10823,¸äµÅÁö,Sus scrofa,,128.2219952,37.23995675,NES2
10824,¸äµÅÁö,Sus scrofa,,127.1508599,38.03451331,NES2
10825,¸äµÅÁö,Sus scrofa,,128.4589436,38.18617001,NES2
10826,¸äµÅÁö,Sus scrofa,,127.3667316,38.20348737,NES2
10827,¸äµÅÁö,Sus scrofa,,128.3072518,37.83998362,NES2
10828,¸äµÅÁö,Sus scrofa,,128.4989735,38.1248542,NES2
10829,¸äµÅÁö,Sus scrofa,,126.6799576,35.30937389,NES2
10830,¸äµÅÁö,Sus scrofa,,127.7053632,37.63684222,NES2
10831,¸äµÅÁö,Sus scrofa,,128.1398747,37.45004206,NES2
10832,¸äµÅÁö,Sus scrofa,,128.5055592,38.13636546,NES2
10833,¸äµÅÁö,Sus scrofa,,128.0379707,37.34946185,NES2
10834,¸äµÅÁö,Sus scrofa,,128.4916127,38.20124711,NES2
10835,¸äµÅÁö,Sus scrofa,,128.1272803,37.32698153,NES2
10836,¸äµÅÁö,Sus scrofa,,128.4851061,38.19728211,NES2
10837,¸äµÅÁö,Sus scrofa,,128.2192709,37.73994145,NES2
10838,¸äµÅÁö,Sus scrofa,,128.1443702,37.42465906,NES2
10839,¸äµÅÁö,Sus scrofa,,126.7297315,35.36485011,NES2
10840,¸äµÅÁö,Sus scrofa,,128.1581367,37.33101025,NES2
10841,¸äµÅÁö,Sus scrofa,,128.1664132,37.18299399,NES2
10842,¸äµÅÁö,Sus scrofa,,128.2267419,36.10493055,NES2
10843,¸äµÅÁö,Sus scrofa,,128.1479293,37.31981555,NES2
10844,¸äµÅÁö,Sus scrofa,,128.1308255,37.33523612,NES2
10845,¸äµÅÁö,Sus scrofa,,128.218476,37.73259105,NES2
10846,¸äµÅÁö,Sus scrofa,,128.3150569,37.82870893,NES2
10847,¸äµÅÁö,Sus scrofa,,128.4401242,38.18198456,NES2
10848,¸äµÅÁö,Sus scrofa,,128.1532469,37.31329716,NES2
10849,¸äµÅÁö,Sus scrofa,,127.3428836,35.23181719,NES2
10850,¸äµÅÁö,Sus scrofa,,128.1515889,37.43884522,NES2
10851,¸äµÅÁö,Sus scrofa,,128.2153363,37.19988493,NES2
10852,¸äµÅÁö,Sus scrofa,,127.1776019,35.03085308,NES2
10853,¸äµÅÁö,Sus scrofa,,126.7206182,35.37681571,NES2
10854,¸äµÅÁö,Sus scrofa,,127.3794994,38.2093401,NES2
10855,¸äµÅÁö,Sus scrofa,,128.8863293,35.29361332,NES2
10856,¸äµÅÁö,Sus scrofa,,127.1656874,35.16279159,NES2
10857,¸äµÅÁö,Sus scrofa,,128.163311,37.44554138,NES2
10858,¸äµÅÁö,Sus scrofa,,128.4284987,38.17972485,NES2
10859,¸äµÅÁö,Sus scrofa,,128.1624069,37.43510139,NES2
10860,¸äµÅÁö,Sus scrofa,,128.7781331,37.55741412,NES2
10861,¸äµÅÁö,Sus scrofa,,128.8756314,36.37194879,NES2
10862,¸äµÅÁö,Sus scrofa,,128.0020797,37.46328482,NES2
10863,¸äµÅÁö,Sus scrofa,,127.3037193,38.03116772,NES2
10864,¸äµÅÁö,Sus scrofa,,128.086899,37.52768901,NES2
10865,¸äµÅÁö,Sus scrofa,,127.3141827,38.0354702,NES2
10866,¸äµÅÁö,Sus scrofa,,128.0917792,37.52393533,NES2
10867,¸äµÅÁö,Sus scrofa,,129.2884831,36.33273328,NES2
10868,¸äµÅÁö,Sus scrofa,,127.4046767,35.06713397,NES2
10869,¸äµÅÁö,Sus scrofa,,128.3893992,38.26876339,NES2
10870,¸äµÅÁö,Sus scrofa,,128.4466243,38.27645526,NES2
10871,¸äµÅÁö,Sus scrofa,,128.0484495,37.51674383,NES2
10872,¸äµÅÁö,Sus scrofa,,128.8071002,37.5193391,NES2
10873,¸äµÅÁö,Sus scrofa,,128.2900002,37.60224827,NES2
10874,¸äµÅÁö,Sus scrofa,,129.2771283,36.32834955,NES2
10875,¸äµÅÁö,Sus scrofa,,129.2974563,36.33801944,NES2
10876,¸äµÅÁö,Sus scrofa,,128.8339037,37.5634197,NES2
10877,¸äµÅÁö,Sus scrofa,,128.0792734,37.51940036,NES2
10878,¸äµÅÁö,Sus scrofa,,128.1155404,37.45912998,NES2
10879,¸äµÅÁö,Sus scrofa,,128.4856224,38.2723144,NES2
10880,¸äµÅÁö,Sus scrofa,,128.7631656,37.7649625,NES2
10881,¸äµÅÁö,Sus scrofa,,128.8261033,37.59681525,NES2
10882,¸äµÅÁö,Sus scrofa,,128.4737735,38.30212556,NES2
10883,¸äµÅÁö,Sus scrofa,,128.3473769,37.49622861,NES2
10884,¸äµÅÁö,Sus scrofa,,128.7399664,37.63807952,NES2
10885,¸äµÅÁö,Sus scrofa,,128.6061174,37.16902493,NES2
10886,¸äµÅÁö,Sus scrofa,,128.2137557,37.28960232,NES2
10887,¸äµÅÁö,Sus scrofa,,128.7571994,37.74637784,NES2
10888,¸äµÅÁö,Sus scrofa,,127.3280625,38.0418297,NES2
10889,¸äµÅÁö,Sus scrofa,,128.0736593,37.38775279,NES2
10890,¸äµÅÁö,Sus scrofa,,127.2161936,36.57074427,NES2
10891,¸äµÅÁö,Sus scrofa,,128.0894692,37.43150818,NES2
10892,¸äµÅÁö,Sus scrofa,,128.0653952,37.4195049,NES2
10893,¸äµÅÁö,Sus scrofa,,128.0848377,37.42723364,NES2
10894,¸äµÅÁö,Sus scrofa,,128.0998138,37.41773242,NES2
10895,¸äµÅÁö,Sus scrofa,,128.066974,37.79065189,NES2
10896,¸äµÅÁö,Sus scrofa,,128.0959223,37.41115271,NES2
10897,¸äµÅÁö,Sus scrofa,,128.5535867,37.21419367,NES2
10898,¸äµÅÁö,Sus scrofa,,128.4568302,38.23421112,NES2
10899,¸äµÅÁö,Sus scrofa,,128.4630778,38.22622003,NES2
10900,¸äµÅÁö,Sus scrofa,,128.0406341,37.39281327,NES2
10901,¸äµÅÁö,Sus scrofa,,128.0722189,37.39516661,NES2
10902,¸äµÅÁö,Sus scrofa,,127.4588018,35.7576118,NES2
10903,¸äµÅÁö,Sus scrofa,,128.0707412,37.39007794,NES2
10904,¸äµÅÁö,Sus scrofa,,128.650163,37.26594626,NES2
10905,¸äµÅÁö,Sus scrofa,,128.0757134,37.38397771,NES2
10906,¸äµÅÁö,Sus scrofa,,129.3075387,37.0623014,NES2
10907,¸äµÅÁö,Sus scrofa,,128.0719541,37.3814888,NES2
10908,¸äµÅÁö,Sus scrofa,,128.455394,38.27056324,NES2
