번호,과학원번호,발견일,폐사추정일,폐사경과일,,
1066,21S-01443,2021-02-10,2021-01-29,12,,
1067,21S-01444,2021-02-10,2021-02-02,8,,
1068,21S-01445,2021-02-10,2021-01-29,12,,
1069,21S-01446,2021-02-10,2021-01-31,10,,
1070,21S-01447,2021-02-10,2021-01-31,10,,
1071,21S-01450,2021-02-10,2021-01-16,25,,
1072,21S-01457,2021-02-10,2021-01-21,20,,
1073,21S-01476,2021-02-07,2021-02-07,0,,
1074,21S-01504,2021-02-11,2021-01-30,12,,
1075,21S-01505,2021-02-12,2021-01-31,12,,
1076,21S-01544,2021-02-15,2021-02-10,5,,
1077,21S-01547,2021-02-15,2021-02-10,5,,
1078,21S-01550,2021-02-15,2021-02-05,10,,
1079,21S-01631,2021-02-16,2021-02-06,10,,
1080,21S-01632,2021-02-16,2021-02-06,10,,
1081,21S-01633,2021-02-16,2021-02-08,8,,
1082,21S-01634,2021-02-16,2021-02-09,7,,
1083,21S-01635,2021-02-16,2021-02-04,12,,
1084,21S-01638,2021-02-16,2021-01-17,30,,
1085,21S-01640,2021-02-16,2021-02-01,15,,
1086,21S-01645,2021-02-16,2020-12-08,70,,
1087,21S-01648,2021-02-15,2021-01-31,15,,
1088,21S-01653,2021-02-16,2021-02-01,15,,
1089,21S-01762,2021-02-17,2021-02-09,8,,
1090,21S-01763,2021-02-17,2021-02-12,5,,
1091,21S-01765,2021-02-17,2021-02-02,15,,
1092,21S-01766,2021-02-17,2021-02-02,15,,
1093,21S-01767,2021-02-17,2021-02-07,10,,
1094,21S-01771,2021-02-16,2021-02-16,0,,
1095,21S-01773,2021-02-17,2021-02-17,0,,
1096,21S-01808,2021-02-18,2021-02-10,8,,
1097,21S-01809,2021-02-18,2021-02-10,8,,
1098,21S-01810,2021-02-18,2021-02-03,15,,
1099,21S-01811,2021-02-18,2021-02-06,12,,
1100,21S-01813,2021-02-17,2021-01-30,18,,
1101,21S-01821,2021-02-18,2021-02-10,8,,
1102,21S-01822,2021-02-18,2021-02-08,10,,
1103,21S-01823,2021-02-18,2021-02-10,8,,
1104,21S-01824,2021-02-18,2021-02-06,12,,
1105,21S-01827,2021-02-18,2021-02-18,0,,
1106,21S-01840,2021-02-19,2020-12-21,60,,
1107,21S-01841,2021-02-19,2021-01-05,45,,
1108,21S-01842,2021-02-19,2021-01-10,40,,
1109,21S-01843,2021-02-19,2021-01-30,20,,
1110,21S-01844,2021-02-19,2021-02-09,10,,
1111,21S-01846,2021-02-19,2021-02-04,15,,
1112,21S-01847,2021-02-19,2021-02-09,10,,
1113,21S-01848,2021-02-19,2021-02-09,10,,
1114,21S-01849,2021-02-19,2021-02-04,15,,
1115,21S-01851,2021-02-19,2021-02-04,15,,
1116,21S-01855,2021-02-19,2021-02-09,10,,
1117,21S-01895,2021-02-20,2021-02-13,7,,
1118,21S-01908,2021-02-22,2021-02-17,5,,
1119,21S-01912,2021-02-22,2021-02-07,15,,
1120,21S-01913,2021-02-22,2021-02-02,20,,
1121,21S-01915,2021-02-22,2021-02-07,15,,
1122,21S-01916,2021-02-22,2021-02-12,10,,
1123,21S-01919,2021-02-22,2021-02-12,10,,
1124,21S-01920,2021-02-21,2021-02-14,7,,
1125,21S-01921,2021-02-21,2021-02-01,20,,
1126,21S-01923,2021-02-20,2021-02-20,0,,
1127,21S-01937,2021-02-22,2021-02-22,0,,
1128,21S-01941,2021-02-22,2021-02-20,2,,
1129,21S-01958,2021-02-23,2021-02-16,7,,
1130,21S-01959,2021-02-23,2021-02-03,20,,
1131,21S-01964,2021-02-23,2021-01-24,30,,
1132,21S-01965,2021-02-23,2021-02-16,7,,
1133,21S-01966,2021-02-23,2021-02-03,20,,
1134,21S-01967,2021-02-23,2021-02-16,7,,
1135,21S-01968,2021-02-23,2021-02-11,12,,
1136,21S-01970,2021-02-23,2021-02-08,15,,
1137,21S-01971,2021-02-23,2021-01-29,25,,
1138,21S-01981,2021-02-23,2021-02-13,10,,
1139,21S-01986,2021-02-24,2021-02-19,5,,
1140,21S-01987,2021-02-24,2021-01-25,30,,
1141,21S-01988,2021-02-24,2021-02-22,2,,
1142,21S-01989,2021-02-24,2021-02-04,20,,
1143,21S-01990,2021-02-24,2021-02-09,15,,
1144,21S-01991,2021-02-24,2021-02-14,10,,
1145,21S-01993,2021-02-24,2021-01-05,50,,
1146,21S-02185,2021-02-25,2021-02-20,5,,
1147,21S-02186,2021-02-25,2021-02-17,8,,
1148,21S-02188,2021-02-25,2021-01-31,25,,
1149,21S-02189,2021-02-25,2021-01-31,25,,
1150,21S-02190,2021-02-25,2021-02-18,7,,
1151,21S-02191,2021-02-25,2021-01-31,25,,
1152,21S-02192,2021-02-25,2021-02-05,20,,
1153,21S-02195,2021-02-25,2021-02-17,8,,
1154,21S-02196,2021-02-25,2021-02-05,20,,
1155,21S-02197,2021-02-25,2021-01-16,40,,
1156,21S-02198,2021-02-25,2021-02-18,7,,
1157,21S-02199,2021-02-25,2021-01-26,30,,
1158,21S-02200,2021-02-25,2021-01-26,30,,
1159,21S-02203,2021-02-24,2021-01-25,30,,
1160,21S-02204,2021-02-25,2021-02-20,5,,
1161,21S-02205,2021-02-25,2021-01-31,25,,
1162,21S-02206,2021-02-25,2021-02-13,12,,
1163,21S-02207,2021-02-25,2021-02-15,10,,
1164,21S-02222,2021-02-26,2021-02-18,8,,
1165,21S-02223,2021-02-26,2021-02-14,12,,
1166,21S-02224,2021-02-26,2021-01-27,30,,
1167,21S-02225,2021-02-26,2021-02-06,20,,
1168,21S-02229,2021-02-26,2021-02-06,20,,
1169,21S-02230,2021-02-26,2021-02-11,15,,
1170,21S-02231,2021-02-26,2021-02-14,12,,
1171,21S-02232,2021-02-26,2021-02-19,7,,
1172,21S-02233,2021-02-26,2021-02-06,20,,
1173,21S-02234,2021-02-26,2021-02-11,15,,
1174,21S-02235,2021-02-26,2021-01-12,45,,
1175,21S-02296,2021-02-27,2021-02-19,8,,
1176,21S-02298,2021-02-27,2021-02-07,20,,
1177,21S-02753,2021-03-04,2021-02-10,22,,
1178,21S-02754,2021-03-04,2021-02-24,8,,
1179,21S-02768,2021-03-05,2021-01-24,40,,
1180,21S-02769,2021-03-05,2021-01-29,35,,
1181,21S-02821,2021-03-07,2021-02-20,15,,
1182,21S-02822,2021-03-06,2021-02-09,25,,
1183,21S-02823,2021-03-06,2021-02-27,7,,
1184,21S-02829,2021-03-06,2021-03-03,3,,
1185,21S-03131,2021-03-08,2021-03-01,7,,
1186,21S-03132,2021-03-08,2021-02-21,15,,
1187,21S-03136,2021-03-08,2021-02-21,15,,
1188,21S-03137,2021-03-08,2021-02-21,15,,
1189,21S-03138,2021-03-08,2021-02-16,20,,
1190,21S-03140,2021-03-08,2021-02-21,15,,
1191,21S-03173,2021-03-09,2021-03-01,8,,
1192,21S-03175,2021-03-09,2021-02-19,18,,
1193,21S-03176,2021-03-09,2021-02-22,15,,
1194,21S-03179,2021-03-09,2021-02-07,30,,
1195,21S-03182,2021-03-09,2021-02-17,20,,
1196,21S-03183,2021-03-09,2021-03-05,4,,
1197,21S-03189,2021-03-08,2021-03-08,0,,
1198,21S-03248,2021-03-09,2021-02-12,25,,
1199,21S-03253,2021-03-10,2021-02-08,30,,
1200,21S-03254,2021-03-10,2021-02-20,18,,
1201,21S-03255,2021-03-10,2021-02-23,15,,
1202,21S-03256,2021-03-10,2021-02-13,25,,
1203,21S-03257,2021-03-10,2021-02-18,20,,
1204,21S-03258,2021-03-10,2021-02-08,30,,
1205,21S-03260,2021-03-10,2021-01-09,60,,
1206,21S-03263,2021-03-10,2021-02-18,20,,
1207,21S-03264,2021-03-10,2021-02-23,15,,
1208,21S-03343,2021-03-11,2021-02-19,20,,
1209,21S-03345,2021-03-11,2021-01-20,50,,
1210,21S-03346,2021-03-11,2021-01-20,50,,
1211,21S-03349,2021-03-11,2020-10-12,150,,
1212,21S-03350,2021-03-11,2021-02-04,35,,
1213,21S-03351,2021-03-11,2021-02-14,25,,
1214,21S-03352,2021-03-11,2021-02-19,20,,
1215,21S-03353,2021-03-11,2021-02-14,25,,
1216,21S-03359,2021-03-11,2021-02-24,15,,
1217,21S-03369,2021-03-12,2021-02-25,15,,
1218,21S-03370,2021-03-12,2021-03-02,10,,
1219,21S-03372,2021-03-12,2021-02-15,25,,
1220,21S-03376,2021-03-12,2021-02-25,15,,
1221,21S-03390,2021-03-12,2021-03-02,10,,
1222,21S-03391,2021-03-13,2021-03-06,7,,
1223,21S-03392,2021-03-13,2021-02-26,15,,
1224,21S-03393,2021-03-13,2021-02-26,15,,
1225,21S-03410,2021-03-15,2021-02-18,25,,
1226,21S-03411,2021-03-15,2021-02-18,25,,
1227,21S-03412,2021-03-15,2021-03-08,7,,
1228,21S-03413,2021-03-14,2021-02-27,15,,
1229,21S-03414,2021-03-14,2021-03-04,10,,
1230,21S-03749,2021-03-16,2021-03-09,7,,
1231,21S-03752,2021-03-16,2021-02-19,25,,
1232,21S-03754,2021-03-16,2021-02-09,35,,
1233,21S-03756,2021-03-16,2021-03-06,10,,
1234,21S-03757,2021-03-16,2021-03-11,5,,
1235,21S-03758,2021-03-16,2021-02-19,25,,
1236,21S-03847,2021-03-17,2021-02-20,25,,
1237,21S-03848,2021-03-17,2021-03-05,12,,
1238,21S-03870,2021-03-17,2021-03-10,7,,
1239,21S-03872,2021-03-18,2021-02-06,40,,
1240,21S-03874,2021-03-18,2021-02-21,25,,
1241,21S-03879,2021-03-18,2021-03-06,12,,
1242,21S-03881,2021-03-18,2021-02-26,20,,
1243,21S-03925,2021-03-19,2021-02-22,25,,
1244,21S-03926,2021-03-19,2021-02-27,20,,
1245,21S-03927,2021-03-19,2021-02-22,25,,
1246,21S-03930,2021-03-19,2021-02-22,25,,
1247,21S-03931,2021-03-19,2021-03-04,15,,
1248,21S-03953,2021-03-21,2021-02-24,25,,
1249,21S-03969,2021-03-19,2020-10-20,150,,
1250,21S-03971,2021-03-22,2021-03-12,10,,
1251,21S-03972,2021-03-22,2021-02-20,30,,
1252,21S-03973,2021-03-22,2021-03-12,10,,
1253,21S-03974,2021-03-22,2021-03-10,12,,
1254,21S-03978,2021-03-22,2021-02-25,25,,
1255,21S-03979,2021-03-22,2021-02-25,25,,
1256,21S-04043,2021-03-23,2021-03-08,15,,
1257,21S-04044,2021-03-23,2021-02-16,35,,
1258,21S-04045,2021-03-23,2021-02-16,35,,
1259,21S-04050,2021-03-22,2021-02-25,25,,
1260,21S-04051,2021-03-22,2021-02-25,25,,
1261,21S-04052,2021-03-23,2021-02-16,35,,
1262,21S-04053,2021-03-23,2021-02-21,30,,
1263,21S-04056,2021-03-23,2021-02-11,40,,
1264,21S-04086,2021-03-24,2021-02-22,30,,
1265,21S-04087,2021-03-24,2021-02-27,25,,
1266,21S-04088,2021-03-24,2021-02-12,40,,
1267,21S-04092,2021-03-24,2021-02-12,40,,
1268,21S-04108,2021-03-24,2021-03-04,20,,
1269,21S-04109,2021-03-24,2021-02-12,40,,
1270,21S-04110,2021-03-24,2021-02-17,35,,
1271,21S-04111,2021-03-24,2021-03-09,15,,
1272,21S-04114,2021-03-25,2021-02-23,30,,
1273,21S-04120,2021-03-25,2021-02-23,30,,
1274,21S-04121,2021-03-25,2021-02-23,30,,
1275,21S-04146,2021-03-26,2021-02-14,40,,
1276,21S-04148,2021-03-26,2021-02-14,40,,
1277,21S-04149,2021-03-26,2021-03-01,25,,
1278,21S-04154,2021-03-26,2021-02-24,30,,
1279,21S-04162,2021-03-26,2021-03-16,10,,
1280,21S-04321,2021-03-29,2021-03-22,7,,
1281,21S-04327,2021-03-29,2021-02-17,40,,
1282,21S-04382,2021-03-30,2021-03-05,25,,
1283,21S-04384,2021-03-30,2021-03-10,20,,
1284,21S-04386,2021-03-30,2021-02-28,30,,
1285,21S-04387,2021-03-30,2021-03-10,20,,
1286,21S-04421,2021-03-31,2021-03-01,30,,
1287,21S-04423,2021-03-31,2021-02-09,50,,
1288,21S-04424,2021-03-31,2021-03-06,25,,
1289,21S-04458,2021-04-01,2021-02-25,35,,
1290,21S-04469,2021-04-01,2021-03-12,20,,
1291,21S-04478,2021-04-01,2021-03-02,30,,
1292,21S-04528,2021-04-02,2021-02-16,45,,
1293,21S-04532,2021-04-02,2021-02-01,60,,
1294,21S-04551,2021-04-03,2021-03-04,30,,
1295,21S-04553,2021-04-04,2021-03-05,30,,
1296,21S-04565,2021-04-05,2021-03-18,18,,
1297,21S-04567,2021-04-05,2021-02-19,45,,
1298,21S-04569,2021-04-05,2021-03-26,10,,
1299,21S-04571,2021-04-05,2021-03-21,15,,
1300,21S-04602,2021-04-06,2021-03-07,30,,
1301,21S-04606,2021-04-06,2021-03-22,15,,
1302,21S-04607,2021-04-06,2021-03-25,12,,
1303,21S-04608,2021-04-06,2021-03-30,7,,
1304,21S-04643,2021-04-07,2021-03-13,25,,
1305,21S-04647,2021-04-07,2021-03-08,30,,
1306,21S-04649,2021-04-07,2021-03-18,20,,
1307,21S-04650,2021-04-07,2021-03-31,7,,
1308,21S-04667,2021-04-08,2021-02-27,40,,
1309,21S-04673,2021-04-07,2021-04-02,5,,
1310,21S-04674,2021-04-08,2021-04-01,7,,
1311,21S-04675,2021-04-08,2021-04-02,6,,
1312,21S-04681,2021-04-08,2021-04-02,6,,
1313,21S-04697,2021-04-09,2021-04-05,4,,
1314,21S-04700,2021-04-09,2021-04-05,4,,
1315,21S-04701,2021-04-09,2021-04-05,4,,
1316,21S-04702,2021-04-09,2021-04-01,8,,
1317,21S-04703,2021-04-09,2021-04-02,7,,
1318,21S-04705,2021-04-09,2021-04-01,8,,
1319,21S-04707,2021-04-09,2021-03-20,20,,
1320,21S-04709,2021-04-09,2021-04-04,5,,
1321,21S-04719,2021-04-10,2021-03-26,15,,
1322,21S-04737,2021-04-12,2021-03-03,40,,
1323,21S-04739,2021-04-12,2021-03-23,20,,
1324,21S-04741,2021-04-12,2021-03-13,30,,
1325,21S-04742,2021-04-12,2021-04-07,5,,
1326,21S-04745,2021-04-12,2021-03-18,25,,
1327,21S-04746,2021-04-12,2021-04-10,2,,
1328,21S-04760,2021-04-13,2021-04-09,4,,
1329,21S-04761,2021-04-13,2021-03-14,30,,
1330,21S-04763,2021-04-13,2021-04-01,12,,
1331,21S-04766,2021-04-12,2021-04-02,10,,
1332,21S-04767,2021-04-12,2021-03-23,20,,
1333,21S-04769,2021-04-12,2021-04-02,10,,
1334,21S-04770,2021-04-12,2021-03-23,20,,
1335,21S-04794,2021-04-14,2021-03-20,25,,
1336,21S-04799,2021-04-14,2021-02-23,50,,
1337,21S-04802,2021-04-14,2021-03-15,30,,
1338,21S-04803,2021-04-14,2021-02-23,50,,
1339,21S-04804,2021-04-14,2021-03-05,40,,
1340,21S-04805,2021-04-14,2021-02-23,50,,
1341,21S-04806,2021-04-14,2021-02-03,70,,
1342,21S-04807,2021-04-14,2021-04-02,12,,
1343,21S-04808,2021-04-14,2021-03-30,15,,
1344,21S-04896,2021-04-15,2021-04-05,10,,
1345,21S-04897,2021-04-15,2021-03-06,40,,
1346,21S-04898,2021-04-15,2021-03-21,25,,
1347,21S-04899,2021-04-15,2021-03-21,25,,
1348,21S-04914,2021-04-16,2021-02-15,60,,
1349,21S-04915,2021-04-16,2021-04-13,3,,
1350,21S-04917,2021-04-16,2021-03-07,40,,
1351,21S-04918,2021-04-16,2021-04-04,12,,
1352,21S-04919,2021-04-16,2021-04-01,15,,
1353,21S-04932,2021-04-16,2021-04-16,0,,
1354,21S-04937,2021-04-15,2021-03-11,35,,
1355,21S-04938,2021-04-18,2021-03-19,30,,
1356,21S-04939,2021-04-18,2021-04-06,12,,
1357,21S-04940,2021-04-17,2021-04-13,4,,
1358,21S-04943,2021-04-17,2021-03-03,45,,
1359,21S-04959,2021-04-16,2021-04-11,5,,
1360,21S-04960,2021-04-19,2021-02-28,50,,
1361,21S-04963,2021-04-19,2021-03-15,35,,
1362,21S-04966,2021-04-19,2021-03-15,35,,
1363,21S-04967,2021-04-19,2021-04-10,9,,
1364,21S-04968,2021-04-19,2021-04-15,4,,
1365,21S-04971,2021-04-19,2021-04-05,14,,
1366,21S-04972,2021-04-19,2021-04-07,12,,
1367,21S-04979,2021-04-19,2021-03-30,20,,
1368,21S-04980,2021-04-19,2021-04-14,5,,
1369,21S-04981,2021-04-19,2021-02-28,50,,
1370,21S-05002,2021-04-20,2021-04-08,12,,
1371,21S-05004,2021-04-20,2021-03-26,25,,
1372,21S-05005,2021-04-20,2021-04-15,5,,
1373,21S-05006,2021-04-20,2021-03-31,20,,
1374,21S-05007,2021-04-20,2021-04-08,12,,
1375,21S-05011,2021-04-20,2021-04-12,8,,
1376,21S-05055,2021-04-21,2021-04-16,5,,
1377,21S-05057,2021-04-20,2021-04-05,15,,
1378,21S-05058,2021-04-16,2021-04-05,11,,
1379,21S-05118,2021-04-22,2021-03-03,50,,
1380,21S-05121,2021-04-22,2021-03-13,40,,
1381,21S-05122,2021-04-22,2021-04-17,5,,
1382,21S-05128,2021-04-22,2021-04-07,15,,
1383,21S-05130,2021-04-22,2021-03-28,25,,
1384,21S-05131,2021-04-22,2021-04-16,6,,
1385,21S-05133,2021-04-22,2021-02-21,60,,
1386,21S-05169,2021-04-23,2021-04-18,5,,
1387,21S-05170,2021-04-23,2021-04-14,9,,
1388,21S-05174,2021-04-23,2021-04-19,4,,
1389,21S-05177,2021-04-23,2021-04-19,4,,
1390,21S-05178,2021-04-23,2021-04-11,12,,
1391,21S-05195,2021-04-24,2021-04-17,7,,
1392,21S-05199,2021-04-24,2021-04-18,6,,
1393,21S-05200,2021-04-25,2021-04-11,14,,
1394,21S-05202,2021-04-24,2021-03-05,50,,
1395,21S-05203,2021-04-24,2021-04-19,5,,
1396,21S-05226,2021-04-26,2021-02-25,60,,
1397,21S-05234,2021-04-26,2021-04-17,9,,
1398,21S-05236,2021-04-26,2021-04-06,20,,
1399,21S-05237,2021-04-26,2021-04-21,5,,
1400,21S-05239,2021-04-25,2021-03-06,50,,
1401,21S-05240,2021-04-26,2021-04-16,10,,
1402,21S-05285,2021-04-27,2021-03-28,30,,
1403,21S-05289,2021-04-27,2021-04-07,20,,
1404,21S-05310,2021-04-28,2021-04-23,5,,
1405,21S-05372,2021-05-03,2021-04-18,15,,
1406,21S-05391,2021-05-03,2021-04-23,10,,
1407,21S-05393,2021-05-05,2021-03-31,35,,
1408,21S-05502,2021-05-08,2021-04-17,21,,
1409,21S-05506,2021-05-08,2021-03-19,50,,
1410,21S-05521,2021-05-09,2021-05-06,3,,
1411,21S-05522,2021-05-09,2021-05-06,3,,
1412,21S-05535,2021-05-10,2021-04-05,35,,
1413,21S-05537,2021-05-10,2021-04-05,35,,
1414,21S-05538,2021-05-10,2021-03-31,40,,
1415,21S-05585,2021-05-11,2021-03-27,45,,
1416,21S-05640,2021-05-12,2021-03-13,60,,
1417,21S-05678,2021-05-13,2021-04-08,35,,
1418,21S-05726,2021-05-13,2021-04-18,25,,
1419,21S-05744,2021-05-15,2021-05-10,5,,
1420,21S-05898,2021-05-24,2021-04-19,35,,
1421,21S-05901,2021-05-24,2021-03-05,80,,
1422,21S-05969,2021-05-26,2021-04-21,35,,
1423,21S-06029,2021-05-28,2021-04-08,50,,
1424,21S-06063,2021-05-29,2021-05-09,20,,
1425,21S-06197,2021-06-04,2021-04-05,60,,
