번호,과학원번호,발견일,폐사추정일,폐사경과일,,
185,20S-1728,2020-02-11,2020-02-06,5,,
186,20S-1729,2020-02-11,2020-02-08,3,,
187,20S-1736,2020-02-11,2020-02-06,5,,
188,20S-1738,2020-02-11,2020-01-27,15,,
189,20S-1743,2020-02-11,2020-01-27,15,,
190,20S-1744,2020-02-11,2020-02-04,7,,
191,20S-1745,2020-02-11,2020-02-04,7,,
192,20S-1746,2020-02-11,2020-02-06,5,,
193,20S-1759,2020-02-11,2020-02-11,0,,
194,20S-1799,2020-02-12,2020-02-07,5,,
195,20S-1800,2020-02-12,2020-02-07,5,,
196,20S-1801,2020-02-12,2020-02-02,10,,
197,20S-1802,2020-02-12,2020-02-02,10,,
198,20S-1803,2020-02-12,2020-02-07,5,,
199,20S-1804,2020-02-12,2020-02-05,7,,
200,20S-1829,2020-02-13,2020-02-08,5,,
201,20S-1830,2020-02-13,2020-02-08,5,,
202,20S-1831,2020-02-13,2020-02-06,7,,
203,20S-1837,2020-02-13,2020-02-10,3,,
204,20S-1839,2020-02-12,2020-02-07,5,,
205,20S-1870,2020-02-11,2020-01-22,20,,
206,20S-1871,2020-02-11,2020-01-17,25,,
207,20S-1874,2020-02-11,2020-01-24,18,,
208,20S-1875,2020-02-11,2020-01-22,20,,
209,20S-1876,2020-02-11,2020-01-22,20,,
210,20S-1878,2020-02-11,2020-01-24,18,,
211,20S-1882,2020-02-14,2020-01-25,20,,
212,20S-1883,2020-02-14,2020-02-09,5,,
213,20S-1886,2020-02-14,2020-01-30,15,,
214,20S-1887,2020-02-14,2020-02-07,7,,
215,20S-1888,2020-02-14,2020-02-04,10,,
216,20S-1891,2020-02-14,2020-02-07,7,,
217,20S-1894,2020-02-14,2020-02-09,5,,
218,20S-1991,2020-02-15,2020-02-12,3,,
219,20S-1992,2020-02-15,2020-02-10,5,,
220,20S-1993,2020-02-15,2020-02-08,7,,
221,20S-1994,2020-02-15,2020-02-10,5,,
222,20S-1996,2020-02-15,2020-02-10,5,,
223,20S-1997,2020-02-15,2020-02-08,7,,
224,20S-1999,2020-02-15,2020-01-21,25,,
